mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS004	E	   5994	2002____		43.5	145.0					JAPAN	HOKKAIDO, CAPE, ICE, AGR., SNOW	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5993	2002____		42.5	143.5					JAPAN	HOKKAIDO, HIROO, COAST, SNOW	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5992	2002____		42.5	143.5					JAPAN	HOKKAIDO, COAST NEAR URAHORO	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5979	20020113	1551__	20.5	-77.0					CUBA	MANZANILLO, REEFS	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5978	20020113	155100	20.5	-77.0	19.3	-77.1	215		CUBA	G. DE GUACANAYABO, REEFS	10	19	N	151	44	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5977	20020113	155047	20.5	-78.0	19.9	-77.6	215		CUBA	G. DE GUACANAYABO, REEFS	25	11	NW	151	43	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5976	20020113	155037	20.5	-78.5	20.4	-78.0	215		CUBA	QUEEN'S GARDEN, REEFS	10	 8	W	151	43	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5975	20020113	155022	21.5	-81.5	21.1	-78.7	215		CUBA	ARCH. DE LOS CANARREOS	10	38	W	150	42	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5974	20020113	155020	22.0	-81.5	21.2	-78.8	215		CUBA	G. DE CAZONES, CAY LARGO	10	38	W	150	42	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5973	20020113	155017	22.0	-81.5	21.4	-78.9	215		CUBA	G. DE CAZONES, CAY LARGO	10	37	W	150	42	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5972	20020113	155014	22.0	-81.5	21.5	-79.0	215		CUBA	BAY OF PIGS,REEF,CAYO I.	10	35	W	150	41	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5971	20020113	155012	22.0	-81.0	21.6	-79.1	215		CUBA	BAY OF PIGS,  REEFS	10	28	W	150	41	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5970	20020113	155002	22.5	-79.0	22.1	-79.5	215		CUBA	ARCH. DE CAMAGUEY, REEFS	10	10	NE	150	41	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5969	20020113	155000	22.5	-79.0	22.2	-79.6	215		CUBA	ARCH. DE CAMAGUEY, REEFS	10	11	NE	150	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5968	20020113	154957	22.5	-79.5	22.3	-79.7	215		CUBA	ARCH. DE SABANA, REEFS	10	 5	NE	150	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS004	E	   5967	20020113	154954	22.5	-79.5	22.5	-79.9	215		CUBA	ARCH. DE SABANA, REEFS	10	 6	E	150	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
